product_id,name,net_weight_g,price,serving_g,kcal,protein_g,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,carb_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,potassium_mg,vitamin_d_mcg,calcium_mg,iron_mg
0,"21/25 Raw, Peeled and Deveined, Tail-Off Shrimp - Frozen - 16oz - Good & Gather™",453.6,13.59,113.4,52.9101,12.3457,0.0,0.0,0.0,123.4568,0.0,0.0,0.0,0.0,132.2751,72.3104,0.0,29.9824,0.0
1,"31/40 Wild Caught Large Raw Shrimp, Tail-Off, Peeled & Deveined - Frozen - 16oz - Good & Gather™",453.6,12.59,113.4,52.9101,12.3457,0.0,0.0,0.0,123.4568,0.0,0.0,0.0,0.0,132.2751,72.3104,0.0,29.9824,0.0
2,3ct Instant Non-Fat Dry Milk 9.6oz - Good & Gather™,272.2,4.59,23.0,347.8261,34.7826,0.0,0.0,0.0,21.7391,52.1739,0.0,52.1739,0.0,543.4783,1782.6087,15.2174,1260.8696,0.0
3,4% Milkfat Small Curd Cottage Cheese - 24oz - Good & Gather™,680.4,2.99,113.4,97.0018,10.582,4.4092,2.6455,0.0,22.0459,4.4092,0.0,3.5273,0.0,361.552,123.4568,0.0,88.1834,0.0
4,85/15 All Natural Beef Burger Patties - Frozen - 48oz/12ct - Good & Gather™,1360.8,14.99,112.0,214.2857,18.75,15.1786,6.25,1.3393,75.8929,0.0,0.0,0.0,,80.3571,,,,
5,Alaska Cod Skinless Boneless Fillets - Frozen - 16oz - Good & Gather™,453.6,15.39,142.0,70.4225,17.6056,0.0,0.0,0.0,45.7746,0.0,0.0,0.0,0.0,105.6338,330.9859,0.493,21.1268,0.1408
6,Antioxidant Frozen Fruit Blend - 40oz - Good & Gather™,1134.0,9.59,141.8,49.3653,0.7052,0.3526,0.0,0.0,0.0,12.6939,3.5261,7.7574,0.0,0.0,155.1481,0.0,14.1044,0.4937
7,Artesano Golden Wheat Bakery Bread - 20oz,567.0,3.79,38.0,263.1579,10.5263,3.9474,0.0,0.0,0.0,47.3684,5.2632,7.8947,5.2632,421.0526,118.4211,0.0,21.0526,2.6316
8,Artesano Original White Bread - 20oz,567.0,3.79,38.0,263.1579,10.5263,3.9474,0.0,0.0,0.0,50.0,2.6316,5.2632,5.2632,526.3158,92.1053,0.0,15.7895,2.8947
9,Atlantic Salmon - Frozen - 16oz - Good & Gather™,453.6,11.99,113.4,211.6402,20.2822,13.2275,3.0864,0.0,52.9101,0.0,0.0,0.0,0.0,57.3192,361.552,11.0229,8.8183,0.3527
