Product Name,Store,Min Price,Weight_g,Price per Gram,Category,usda_match,match_confidence,Energy (kcal),Protein (g),Healthy Fats (g),Unhealthy Fats (g),"Carbohydrate, by difference (g)","Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Potassium, K (mg)","Sodium, Na (mg)",Vitamin C (mg),"Vitamin A, RAE (µg)",Vitamin D (D2 + D3) (µg),"Sugars, Total (g)",Cholesterol (mg)
Hero Classic White Bread - 15.9 Oz,Safeway,9.99,450.76,0.02216271,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Hero Classic Hot Dog Buns - 17.5 Oz,Safeway,9.99,496.12,0.02013641,bread-bakery,"Hot dog, reduced fat",100.0,216.0,13.8,8.269,6.5,5.1,0.0,16.0,1.17,203.0,615.0,0.2,0.0,0.5,0.0,52.0
Hero Classic Hamburger Buns - 17.5 Oz,Safeway,9.99,496.12,0.02013641,bread-bakery,"Hamburger, NFS",84.6,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Signature SELECT Parisian Style French Hoagie Rolls - 16.5 Oz,Safeway,7.99,467.77,0.01708116,bread-bakery,"Rolls, french",100.0,277.0,8.6,2.794,0.962,50.2,3.2,91.0,2.71,114.0,574.0,0.0,0.0,0.0,0.31,0.0
La Tour Bakehouse Japanese Style White Bread - 21 OZ,Safeway,6.99,595.34,0.0117412,bread-bakery,"Bread, white wheat",78.6,238.0,10.7,1.366,0.661,43.9,9.2,684.0,4.89,127.0,478.0,0.0,0.0,0.0,5.0,0.0
Signature SELECT Bread Round Sliced Sourdough - 24 Oz,Safeway,9.99,680.39,0.0146828,bread-bakery,"Bread, sour dough",85.7,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Signature SELECT Buns Hamburger - 14 Oz,Safeway,6.49,396.89,0.01635201,bread-bakery,"Hamburger, NFS",81.8,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Oroweat Country Style Buttermilk Bread - 24 Oz,Safeway,9.49,680.39,0.01394792,bread-bakery,"Buttermilk, low fat",100.0,,3.46,0.199,0.552,4.81,,120.0,0.0132,158.0,92.5,,,0.543,,4.79
King's Hawaiian Original Sweet Rolls - 12 Oz,Safeway,6.99,340.19,0.0205471,bread-bakery,"Rolls, dinner, sweet",75.9,321.0,10.0,2.705,3.688,53.6,3.1,62.0,2.74,149.0,253.0,0.2,40.0,0.0,15.4,55.0
Atoria's Naan Garlic - 11 Oz,Safeway,4.49,311.84,0.0143982,bread-bakery,"Garlic, raw",100.0,143.0,6.62,0.0,0.0,28.2,2.7,,,,,10.0,,,,
Francisco International French Sandwich Rolls - 18.5 Oz,Safeway,9.99,524.47,0.01904795,bread-bakery,"Rolls, french",100.0,277.0,8.6,2.794,0.962,50.2,3.2,91.0,2.71,114.0,574.0,0.0,0.0,0.0,0.31,0.0
Daves Killer Bread 21 Whole Grains & Seeds Thin-Sliced Whole Grain Organic Bread - 20.5 Oz,Safeway,10.49,581.16,0.01804996,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
Oven Joy Bread Enriched White - 22 Oz,Safeway,4.99,623.69,0.00800078,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
